rows	parallel	vector	unroll2x	unroll4x	unroll8x	0check earlypruneand0check
128	2.665588379	0.7408447266	0.7297363281	0.6831665039	0.7280273438	0.9454956055	0.9049072266
256	2.735229492	0.7498168945	0.747253418	0.6637268066	0.6759033203	0.9585266113	0.7865600586
512	2.692077637	0.8098449707	0.7844238281	0.6840209961	0.6953430176	0.9577789307	0.8273620605
1024	2.642250061	0.854598999	0.7600708008	0.6698684692	0.6886672974	0.9634933472	0.8349990845
2048	2.678379059	0.8679771423	0.8002853394	0.6962776184	0.7153167725	0.9603424072	0.8549194336
4096	2.715736389	0.8812618256	0.8369083405	0.7528343201	0.7507381439	1.010009766	0.8589382172
8192	2.693139076	0.8955745697	1.03530407	0.77202034	0.7763395309	1.009001732	0.9452352524
16384	2.688459396	0.8983182907	0.8581504822	0.773141861	0.7870173454	1.001925468	1.012569904
32768	2.7509408	0.9228732586	0.9036588669	0.8123867512	0.8209517002	1.092313051	1.079869509
65536	2.966373801	1.613222837	1.673270941	1.529977441	1.417171955	1.555605531	1.888168216
131072	3.009861946	1.737134218	1.824346244	1.736006856	1.640725553	1.784162581	1.986448586
262144	2.993800372	1.798794508	1.848381341	1.880621105	1.974189043	1.88682723	2.069110066
524288	2.990092739	1.827706322	1.798862413	1.772959471	1.830150992	1.860749468	2.103137463
1048576	2.986475229	1.837887004	1.832820341	1.802088454	1.860514358	2.02950187	2.144271061
2097152	2.983107198	1.85632297	1.854929257	1.821686205	1.860835679	1.894817442	2.130565677
4194304	2.98514122	1.848454108	1.840111114	1.821103213	1.882043516	1.900848068	2.13971586
