rows;simple-index;scalar;scalar/vec;unroll;unroll/vec;vectorized
128;63.73248379;59.98362941;63.20368104;18.13009868;16.6714724;2.574481461
256;75.428089;60.24509295;64.33703327;16.33010868;16.44846822;2.799059645
512;87.23376038;71.37329204;64.07418744;18.99987401;16.51376783;2.616183605
1024;69.96120023;63.773789;65.25234354;19.20551457;17.22596031;2.602850157
2048;66.54492771;63.3859502;65.03898264;19.62916269;23.13250036;2.483455949
4096;65.62862026;66.07790978;65.94581736;17.64346137;16.64503422;2.553377902
8192;67.465624;63.64165133;67.19380686;17.17436063;17.75074058;2.69574852
16384;66.78800331;62.38022181;67.32980043;16.92708016;16.80011597;2.673890243
32768;65.00899677;62.54725249;64.85574372;16.72507209;17.92179933;2.901129203
65536;65.7113113;64.67708239;67.90332777;18.16775851;17.30237793;3.192876326
131072;66.23121008;100.1549564;100.4812844;17.72563266;17.39400115;3.427221033
262144;65.79690754;103.0600955;103.2596737;17.44632403;17.4358947;3.500712062
524288;65.82707229;103.0662687;104.8013458;17.27790003;17.32930073;3.589625142
1048576;65.91054482;103.0151489;103.5260989;17.22001906;17.43198031;3.583722177
