rows;simple-index;scalar;scalar/vec;unroll;unroll/vec;vectorized
128;5.993956982;5.906496912;5.98193668;4.180314872;4.059309622;1.364281881
256;6.23702997;5.912771831;6.007577506;4.029462487;4.039881333;1.48494223
512;6.446814676;6.157312412;6.001671373;4.247917947;4.045597422;1.387463793
1024;6.128483135;5.994891694;6.027957812;4.263448713;4.106512507;1.38009226
2048;6.056256798;5.98609119;6.023232785;4.294926729;4.531849308;1.312349157
4096;6.036253198;6.046096146;6.043209254;4.141061718;4.057019931;1.352407074
8192;6.076080683;5.991899365;6.070256363;4.102184486;4.149807312;1.430685917
16384;6.061517079;5.963016778;6.073173283;4.081261232;4.070399287;1.418940247
32768;6.022567485;5.966874607;6.019162442;4.063940524;4.163643585;1.536614548
65536;6.038069827;6.015182695;6.085410374;4.18330853;4.112898421;1.674856672
131072;6.049439312;6.646090008;6.650783;4.147765216;4.12051793;1.777039239
262144;6.039947874;6.687342024;6.690133134;4.124851185;4.123988491;1.807648403
524288;6.040609129;6.687428438;6.711513433;4.110855977;4.115141535;1.843833194
1048576;6.042437391;6.686712698;6.693850706;4.106014834;4.123664567;1.841458799
